MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,OwnerOccupied,TotalLandAsmt,TotalBldgAsmt,PropertyClass,YearBuilt,Bedrooms,Baths,Basement_YN,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Condo/Coop_Assoc_YN,Central_Air_YN,HOA_YN,Age,Ownership,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets
DENC511948,4.0,285000.0,10,2020,19711,Christina,3472,0.14,Country Hills,Newark City,76,True,12100,67700,Residential,1988,3.0,3.0,Yes,Yes,1775.0,0.0,No,Yes,Yes,1988.0,FeeSimple,Twin/Semi-Detached,1775.0,"Main,Upper1,Upper2",Less than 2 months
DENC506140,11.0,339900.0,7,2020,19711,Red Clay Consolidated,3081,0.82,North Star,Mill Creek Hundred,5,True,27800,65600,Residential,1956,4.0,2.0,Yes,Yes,1650.0,0.0,No,No,Yes,1956.0,FeeSimple,Detached,1650.0,Main,Less than 2 months
DENC510124,7.0,292500.0,10,2020,19711,Christina,3468,0.21,Nottingham Green,Newark City,273,True,16200,63500,Residential,1963,5.0,3.0,Yes,Yes,2575.0,0.0,No,Yes,No,1963.0,FeeSimple,Detached,2575.0,"Main,Upper1",Less than 2 months
DENC521472,5.0,279900.0,2,2021,19711,Red Clay Consolidated,2213,0.22,Meadowood,Mill Creek Hundred,357,True,11600,55500,Residential,1960,3.0,2.0,Yes,Yes,1550.0,0.0,No,Yes,Yes,1960.0,FeeSimple,Detached,1550.0,"Main,Upper1",Less than 2 months
DENC511058,7.0,315000.0,10,2020,19711,Christina,2673,0.16,Meeting House Hill,Mill Creek Hundred,38,True,11800,52900,Residential,1968,4.0,2.0,Yes,Yes,1700.0,0.0,No,Yes,No,1968.0,FeeSimple,Detached,1700.0,"Main,Upper1",Less than 2 months
DENC523668,6.0,275000.0,4,2021,19711,Red Clay Consolidated,1992,0.2,Meadowood,Mill Creek Hundred,218,True,11400,49000,Residential,1960,3.0,2.0,Yes,Yes,1325.0,0.0,No,Yes,No,1960.0,FeeSimple,Detached,1325.0,"Lower1,Upper1",Less than 2 months
DENC519240,3.0,307000.0,1,2021,19711,Christina,4029,0.35,Fairfield,Newark City,80,True,13500,79100,Residential,1971,4.0,3.0,Yes,Yes,2725.0,0.0,No,Yes,No,1971.0,FeeSimple,Detached,2725.0,"Main,Upper1",Less than 2 months
DENC504706,7.0,315000.0,7,2020,19711,Christina,2673,0.16,Meeting House Hill,Mill Creek Hundred,92,True,11800,52900,Residential,1968,4.0,2.0,Yes,Yes,1950.0,638.0,No,Yes,No,1968.0,FeeSimple,Detached,2588.0,"Main,Upper1,Upper2",Less than 2 months
DENC500718,8.0,309900.0,5,2020,19711,Christina,2566,0.23,Meeting House Hill,Mill Creek Hundred,127,True,12300,49800,Residential,1968,4.0,2.0,Yes,Yes,2250.0,957.0,No,Yes,No,1968.0,FeeSimple,Detached,3207.0,Main,Less than 2 months
DENC517142,4.0,318000.0,11,2020,19711,Christina,3173,0.15,Millrace,Mill Creek Hundred,2,True,11100,65700,Residential,1987,3.0,3.0,Yes,Yes,1750.0,0.0,No,Yes,No,1987.0,FeeSimple,Detached,1750.0,"Main,Upper1",Less than 2 months
DENC510798,4.0,289900.0,10,2020,19711,Christina,2768,0.18,Sycamore Gardens,Mill Creek Hundred,88,True,11100,55900,Residential,1965,4.0,2.0,Yes,Yes,2250.0,476.0,No,Yes,No,1965.0,FeeSimple,Detached,2726.0,"Lower1,Main,Upper1",Less than 2 months
DENC511312,1.0,312000.0,10,2020,19711,Christina,3037,0.21,Henderson Heights,Mill Creek Hundred,20,True,14900,58600,Residential,1969,5.0,3.0,Yes,Yes,2340.0,0.0,No,Yes,No,1969.0,FeeSimple,Detached,2340.0,"Main,Upper1",Less than 2 months
DENC519828,4.0,309900.0,1,2021,19711,Christina,2872,0.29,Fairfield Crest,Newark City,50,True,11200,54800,Residential,1962,3.0,3.0,Yes,Yes,2200.0,598.0,No,Yes,No,1962.0,FeeSimple,Detached,2798.0,"Lower1,Main,Upper1",Less than 2 months
DENC519078,4.0,300000.0,1,2021,19711,Red Clay Consolidated,2352,0.16,Meadowood,Mill Creek Hundred,343,True,10600,60700,Residential,1960,5.0,3.0,Yes,No,2225.0,715.0,No,Yes,No,1960.0,FeeSimple,Detached,2940.0,"Main,Upper1,Upper2",Less than 2 months
DENC522072,6.0,294900.0,3,2021,19711,Christina,3128,0.23,Chapel Hill,Mill Creek Hundred,57,True,15000,60700,Residential,1967,3.0,2.0,Yes,Yes,1700.0,0.0,No,Yes,Yes,1967.0,FeeSimple,Detached,1700.0,Main,Less than 2 months
DENC506118,2.0,309900.0,8,2020,19711,Christina,2802,0.18,Windy Hills,Newark City,89,True,11800,52600,Residential,1956,3.0,3.0,Yes,Yes,1525.0,0.0,No,Yes,No,1956.0,FeeSimple,Detached,1525.0,"Lower1,Main,Upper1",Less than 2 months
DENC499040,4.0,319900.0,5,2020,19711,Christina,3330,0.2,Drummond North,Mill Creek Hundred,10,True,18300,62300,Residential,1972,4.0,3.0,Yes,Yes,2200.0,0.0,No,Yes,No,1972.0,FeeSimple,Detached,2200.0,"Main,Upper1",Less than 2 months
DENC521922,2.0,309900.0,3,2021,19711,Christina,2463,0.21,Windy Hills,White Clay Creek Hundred,114,True,10900,48700,Residential,1964,3.0,3.0,Yes,No,1475.0,572.0,No,Yes,No,1964.0,FeeSimple,Detached,2047.0,Main,Less than 2 months
DENC2000076,4.0,279900.0,3,2021,19711,Christina,3916,0.98,Fairfield,Newark City,1,True,28300,61700,Residential,1920,4.0,3.0,Yes,Yes,3750.0,0.0,No,No,No,1850.0,FeeSimple,Detached,3750.0,"Main,Upper1",Less than 2 months
DENC520220,16.0,395000.0,1,2021,19711,Christina,4409,0.97,Milford Crossroads,Mill Creek Hundred,55,False,21300,85400,Residential,1970,3.0,3.0,Yes,Yes,2350.0,0.0,No,Yes,Yes,1970.0,FeeSimple,Detached,2350.0,Main,Less than 2 months
DENC518508,6.0,299900.0,12,2020,19711,Christina,3102,0.24,Elan,Newark City,24,False,14400,56900,Residential,1973,4.0,3.0,Yes,Yes,2025.0,0.0,No,Yes,No,1973.0,FeeSimple,Detached,2025.0,"Main,Upper1",Less than 2 months
DENC509524,6.0,309900.0,9,2020,19711,Christina,2487,0.16,Windy Hills,White Clay Creek Hundred,91,True,11100,49100,Residential,1964,3.0,2.0,Yes,Yes,1825.0,611.0,No,Yes,No,1964.0,FeeSimple,Detached,2436.0,"Lower1,Main",Less than 2 months
DENC508938,6.0,319900.0,9,2020,19711,Christina,3219,0.18,Millrace,Mill Creek Hundred,229,True,11300,66600,Residential,1987,4.0,3.0,Yes,Yes,2075.0,0.0,No,Yes,No,1987.0,FeeSimple,Detached,2075.0,"Main,Upper1",Less than 2 months
DENC498818,10.0,349900.0,4,2020,19711,Christina,3224,0.25,Nottingham Green,Newark City,211,True,16500,57600,Residential,1964,3.0,4.0,Yes,Yes,1975.0,616.0,No,Yes,No,1964.0,FeeSimple,Detached,2591.0,"Lower1,Main,Upper1",Less than 2 months
DENC510540,5.0,309900.0,10,2020,19711,Christina,3181,0.16,Abbotsford,Newark City,87,True,12300,60800,Residential,1994,3.0,3.0,Yes,Yes,1525.0,0.0,No,Yes,No,1994.0,FeeSimple,Detached,1525.0,"Main,Upper1",Less than 2 months
DENC511898,9.0,315000.0,10,2020,19711,Christina,3350,0.26,Casho Mill Station,Newark City,406,True,12500,64500,Residential,2002,3.0,3.0,Yes,Yes,1975.0,0.0,No,Yes,No,2002.0,FeeSimple,End of Row/Townhouse,1975.0,"Main,Upper1",Less than 2 months
DENC506342,3.0,315000.0,8,2020,19711,Christina,2727,0.18,Deacons Walk,Mill Creek Hundred,24,True,13900,52100,Residential,1971,4.0,3.0,Yes,Yes,1950.0,638.0,No,Yes,No,1971.0,FeeSimple,Detached,2588.0,"Lower1,Lower2,Main,Upper1",Less than 2 months
