MLS Number,address_new,lat,lng
DENC500706,"2652 Longfellow  Wilmington, DE",39.722257,-75.68010389999999
DENC511232,"2158 Elder  Wilmington, DE",39.7426892,-75.6295148
DENC507480,"2404 Calf Run  Wilmington, DE",39.7322168,-75.6536752
DENC507498,"2628 Sherwood  Wilmington, DE",39.7393207,-75.65478879999999
DENC503930,"2705 E Riding  Wilmington, DE",39.7231602,-75.6808538
DENC501876,"2644 Grendon  Wilmington, DE",39.7241599,-75.6781271
DENC500286,"2627 Drayton  Wilmington, DE",39.722542,-75.67828610000001
DENC498370,"2602 Longfellow  Wilmington, DE",39.7188455,-75.6758775
DENC522838,"5467 Doral  Wilmington, DE",39.73148,-75.701638
DENC523404,"902 N Waterford  Wilmington, DE",39.74739,-75.68395699999999
DENC519394,"4900 Plum Run  Wilmington, DE",39.73198,-75.70309999999999
DENC504304,"2403 Belford  Wilmington, DE",39.7338813,-75.6513798
DENC524666,"321 Nicholas  Wilmington, DE",39.7032388,-75.67764989999999
DENC520384,"2712 Tanager  Wilmington, DE",39.750488,-75.6294238
DENC519514,"1116 Mckennans Church  Wilmington, DE",39.7372435,-75.663061
DENC517732,"2518 Mccawber  Wilmington, DE",39.7310839,-75.6605158
DENC511838,"4869 Plum Run  Wilmington, DE",39.73296200000001,-75.702995
DENC511444,"4812 Hogan  Wilmington, DE",39.744655,-75.5483909
DENC506122,"2716 Newell  Wilmington, DE",39.7464289,-75.63415169999999
DENC501896,"6 Reese  Wilmington, DE",39.72219510000001,-75.65792499999999
DENC495868,"701 Dorcaster  Wilmington, DE",39.738105,-75.6557888
DENC495130,"513 Southampton  Wilmington, DE",39.744655,-75.5483909
DENC503432,"1153 Elderon  Wilmington, DE",39.7419924,-75.668515
DENC499704,"2602 Stephenson  Wilmington, DE",39.72141550000001,-75.6751276
DENC521946,"2400 Calf Run  Wilmington, DE",39.7322103,-75.65315249999999
DENC521450,"10 Steeplechase  Wilmington, DE",39.7507705,-75.68941989999999
DENC518882,"2434 W Parris  Wilmington, DE",39.7349187,-75.6495426
DENC522742,"2505 Emerson  Wilmington, DE",39.7185206,-75.6773772
DENC2000026,"2510 Nicholby  Wilmington, DE",39.731493,-75.66251559999999
DENC506210,"4 Plover  Wilmington, DE",39.74985940000001,-75.6278782
DENC506650,"707 Dorcaster  Wilmington, DE",39.73796590000001,-75.6568796
DENC524508,"2712 Fawkes  Wilmington, DE",39.7346184,-75.667606
DENC505832,"5 Duvall  Wilmington, DE",39.7387125,-75.6687877
